0,index,title,writer,narrator,stars
1,The Immortals of Meluha,Amish Tripathi,Manish Dongardive,5 out of 5 stars,
2,War of Lanka,Amish Tripathi,Darrpan Mehta,4.5 out of 5 stars,
3,The Secret of the Nagas,Amish Tripathi,Manish Dongardive,5 out of 5 stars,
4,"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Stephen Fry,5 out of 5 stars,
5,Project Hail Mary,Andy Weir,Ray Porter,5 out of 5 stars,
6,The Oath of the Vayuputras (English),Amish Tripathi,Manish Dongardive,4.5 out of 5 stars,
7,Dark Matter,Blake Crouch,Jon Lindstrom,4.5 out of 5 stars,
8,The Sandman,"Neil Gaiman, Dirk Maggs","Riz Ahmed, Kat Dennings, Taron Egerton, Neil Gaiman, James McAvoy, Samantha Morton, Bebe Neuwirth, Andy Serkis, Michael Sheen",4.5 out of 5 stars,
9,Scion of Ikshvaku,Amish,Sagar Arya,4.5 out of 5 stars,
10,Mythos,Stephen Fry,Stephen Fry,4.5 out of 5 stars,
11,The Sandman: Act III,"Neil Gaiman, Dirk Maggs","Neil Gaiman, James McAvoy, K.J. Apa, Kat Dennings, Shruti Haasan, David Harewood, Regé-Jean Page, Kristen Schaal, Wil Wheaton",4.5 out of 5 stars,
12,Hitchhiker's Guide to the Galaxy,Douglas Adams,Stephen Fry,4.5 out of 5 stars,
13,"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Stephen Fry,5 out of 5 stars,
14,The Sandman: Act II,"Neil Gaiman, Dirk Maggs","Neil Gaiman, James McAvoy, Emma Corrin, Brian Cox, Kat Dennings, John Lithgow, Bill Nighy",4.5 out of 5 stars,
15,Meluha Ke Mritunjay [The Immortals of Meluha],Amish Tripathi,Swetanshu Bora,4.5 out of 5 stars,
16,Raavan,Amish Tripathi,Sagar Arya,4.5 out of 5 stars,
17,A Game of Thrones,George R.R. Martin,Roy Dotrice,5 out of 5 stars,
18,"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Stephen Fry,5 out of 5 stars,
19,Sita: Warrior of Mithila,Amish,Sagar Arya,4.5 out of 5 stars,
20,Fire and Blood,George R.R. Martin,Simon Vance,4.5 out of 5 stars,
